,players,BOARDWALK_owner,PARK LANE_owner,THE ZOO_owner,AQUARIUM_owner,PET SHOP_owner,TOY SHOP_owner,ROLLER COASTER_owner,FERRIS WHEEL_owner,SWIMMING POOL_owner,GO-KARTS_owner,LIBRARY_owner,MUSEUM_owner,ICE CREAM PARLOUR_owner,BAKERY_owner,PIZZA HOUSE_owner,TACO TRUCK_owner,notes,draw_win%,Little_T_REX_cash,Little_T_REX_pos,Little_T_REX_in_jail,Little_T_REX_get_out_of_jail,Little_T_REX_chance_move,Little_T_REX_bankrupt,Little_T_REX_win%,Little_T_REX_power,Little_Penguin_cash,Little_Penguin_pos,Little_Penguin_in_jail,Little_Penguin_get_out_of_jail,Little_Penguin_chance_move,Little_Penguin_bankrupt,Little_Penguin_win%,Little_Penguin_power
0,2,,,,,,,,,,,,,,,,,Game start.,0.0044,20,0,False,False,False,False,0.5608,20,20,0,False,False,False,False,0.4348,20
1,2,,,,,,,,,,,,,Little_Penguin,,,,Little_Penguin purchased ICE CREAM PARLOUR from the Bank. ,0.006,20,6,False,False,False,False,0.5616,20,19,5,False,False,False,False,0.4324,20
2,2,,,,,,,,,Little_Penguin,,,,Little_Penguin,,,,Little_Penguin purchased SWIMMING POOL from the Bank. ,0.0056,20,12,False,False,False,False,0.4448,20,17,11,False,False,False,False,0.5496,20
3,2,,,,,Little_T_REX,,,,Little_Penguin,,,,Little_Penguin,,,,Little_T_REX purchased PET SHOP from the Bank. Little_Penguin paid Little_T_REX rent of 3. ,0.0064,20,17,False,False,False,False,0.6576,23,14,17,False,False,False,False,0.336,17
4,2,Little_T_REX,,,,Little_T_REX,,,,Little_Penguin,,,,Little_Penguin,,,,Little_T_REX purchased BOARDWALK from the Bank. Little_Penguin drew a chance card: PAY 2 TO BANK. ,0.0052,15,23,False,False,False,False,0.794,23,12,21,False,False,False,False,0.2008,15
5,2,Little_T_REX,Little_Penguin,,,Little_T_REX,,,,Little_Penguin,,,,Little_Penguin,Little_T_REX,,,Little_T_REX drew a chance card: FREE SPACE LIGHT BLUE. Little_T_REX's destination is BAKERY. Little_T_REX purchased BAKERY from the Bank. Little_Penguin purchased PARK LANE from the Bank. ,0.0036,16,4,False,False,False,False,0.8156,25,7,22,False,False,False,False,0.1808,15
6,2,Little_T_REX,Little_Penguin,,,Little_T_REX,,,,Little_Penguin,,,,Little_Penguin,Little_T_REX,,Little_Penguin,Little_Penguin purchased TACO TRUCK from the Bank. ,0.004,16,6,False,False,False,False,0.7452,25,8,1,False,False,False,False,0.2508,17
7,2,Little_T_REX,Little_Penguin,,,Little_T_REX,,,,Little_Penguin,,,Little_T_REX,Little_Penguin,Little_T_REX,,Little_Penguin,Little_T_REX purchased MUSEUM from the Bank. Little_Penguin paid Little_T_REX rent of 1. ,0.0012,15,7,False,False,False,False,0.8352,26,7,4,False,False,False,False,0.1636,16
8,2,Little_T_REX,Little_Penguin,,,Little_T_REX,,,,Little_Penguin,Little_T_REX,,Little_T_REX,Little_Penguin,Little_T_REX,,Little_Penguin,Little_T_REX drew a chance card: FREE SPACE ORANGE. Little_T_REX's destination is GO-KARTS. Little_T_REX purchased GO-KARTS from the Bank. Little_Penguin paid Little_T_REX rent of 2. ,0.0036,15,10,False,False,False,False,0.9228,28,5,7,False,False,False,False,0.0736,14
9,2,Little_T_REX,Little_Penguin,,,Little_T_REX,,,Little_T_REX,Little_Penguin,Little_T_REX,,Little_T_REX,Little_Penguin,Little_T_REX,,Little_Penguin,Little_T_REX purchased FERRIS WHEEL from the Bank. Little_Penguin drew a chance card: ADVANCE TO BOARDWALK. Little_Penguin paid Little_T_REX rent of 5. ,0.0008,17,13,False,False,False,False,0.988,33,0,23,False,False,False,False,0.0112,9
10,2,Little_T_REX,Little_Penguin,,,Little_T_REX,,,Little_T_REX,Little_Penguin,Little_T_REX,,Little_T_REX,Little_Penguin,Little_T_REX,,Little_Penguin,Little_T_REX went to jail by landing on a GO TO JAIL Space. Little_Penguin paid Little_T_REX rent of 1. ,0.0004,18,6,True,False,False,False,0.994,34,1,4,False,False,False,False,0.0056,10
11,2,Little_T_REX,Little_Penguin,,,Little_T_REX,,,Little_T_REX,Little_Penguin,Little_T_REX,,Little_T_REX,Little_T_REX,Little_T_REX,,Little_T_REX,Little_Penguin drew a chance card: MOVE FORWARD UP TO 5 SPACES. Little_Penguin paid Little_T_REX $1.$-2 remaining. Little_Penguin sold ICE CREAM PARLOUR to Little_T_REX. Little_Penguin sold TACO TRUCK to Little_T_REX. ,,18,12,False,False,False,False,0.9976,36,0,13,False,False,False,False,0.0024,7
12,2,Little_T_REX,Little_Penguin,,,Little_T_REX,,,Little_T_REX,Little_Penguin,Little_T_REX,,Little_T_REX,Little_T_REX,Little_T_REX,,Little_T_REX,Little_T_REX drew a chance card: ADVANCE TO GO. Little_Penguin went to jail by landing on a GO TO JAIL Space. ,0.0004,20,0,False,False,False,False,0.9992,38,0,6,True,False,False,False,0.0004,7
13,2,Little_T_REX,,,,Little_T_REX,,,Little_T_REX,,Little_T_REX,,Little_T_REX,Little_T_REX,Little_T_REX,Little_T_REX,Little_T_REX,Little_T_REX purchased PIZZA HOUSE from the Bank. Little_Penguin drew a chance card: Little T-REX. Little_Penguin is bankrupt. ,,19,2,False,False,True,False,1.0,38,-1,9,False,False,False,True,,-1
