,players,BOARDWALK_owner,PARK LANE_owner,THE ZOO_owner,AQUARIUM_owner,PET SHOP_owner,TOY SHOP_owner,ROLLER COASTER_owner,FERRIS WHEEL_owner,SWIMMING POOL_owner,GO-KARTS_owner,LIBRARY_owner,MUSEUM_owner,ICE CREAM PARLOUR_owner,BAKERY_owner,PIZZA HOUSE_owner,TACO TRUCK_owner,notes,draw_win%,Little_T_REX_cash,Little_T_REX_pos,Little_T_REX_in_jail,Little_T_REX_get_out_of_jail,Little_T_REX_chance_move,Little_T_REX_bankrupt,Little_T_REX_win%,Little_T_REX_power,Little_Penguin_cash,Little_Penguin_pos,Little_Penguin_in_jail,Little_Penguin_get_out_of_jail,Little_Penguin_chance_move,Little_Penguin_bankrupt,Little_Penguin_win%,Little_Penguin_power,Little_Scottie_cash,Little_Scottie_pos,Little_Scottie_in_jail,Little_Scottie_get_out_of_jail,Little_Scottie_chance_move,Little_Scottie_bankrupt,Little_Scottie_win%,Little_Scottie_power
0,3,,,,,,,,,,,,,,,,,Game start.,0.0448,18,0,False,False,False,False,0.412,18,18,0,False,False,False,False,0.2916,18,18,0,False,False,False,False,0.2516,18
1,3,,,,,,,,,,,,,,,,Little_T_REX,Little_T_REX purchased TACO TRUCK from the Bank. Little_Penguin paid Little_T_REX rent of 1. ,0.0456,18,1,False,False,False,False,0.374,19,17,1,False,False,False,False,0.2012,17,18,6,False,False,False,False,0.3792,18
2,3,,,,,,,,,Little_Scottie,,,Little_T_REX,Little_Penguin,,,Little_T_REX,Little_T_REX purchased MUSEUM from the Bank. Little_Penguin purchased ICE CREAM PARLOUR from the Bank. Little_Scottie purchased SWIMMING POOL from the Bank. ,0.0432,16,7,False,False,False,False,0.41,19,16,5,False,False,False,False,0.1144,17,16,11,False,False,False,False,0.4324,18
3,3,,,,,Little_Scottie,,,,Little_Scottie,,Little_T_REX,Little_T_REX,Little_Penguin,,,Little_T_REX,Little_T_REX purchased LIBRARY from the Bank. Little_Scottie purchased PET SHOP from the Bank. ,0.0328,14,8,False,False,False,False,0.5008,19,16,6,False,False,False,False,0.078,17,13,17,False,False,False,False,0.3884,18
4,3,,,,Little_Scottie,Little_Scottie,,Little_T_REX,,Little_Scottie,,Little_T_REX,Little_T_REX,Little_Penguin,,,Little_T_REX,Little_T_REX purchased ROLLER COASTER from the Bank. Little_Penguin paid Little_Scottie rent of 2. Little_Scottie purchased AQUARIUM from the Bank. ,0.0456,11,14,False,False,False,False,0.4348,19,14,11,False,False,False,False,0.0212,15,11,19,False,False,False,False,0.4984,20
5,3,,Little_Scottie,,Little_Scottie,Little_Scottie,,Little_T_REX,,Little_Scottie,,Little_T_REX,Little_T_REX,Little_Penguin,,,Little_T_REX,Little_T_REX went to jail by landing on a GO TO JAIL Space. Little_Penguin paid Little_Scottie rent of 3. Little_Scottie purchased PARK LANE from the Bank. ,0.0244,11,6,True,False,False,False,0.3336,19,11,17,False,False,False,False,0.0088,12,9,22,False,False,False,False,0.6332,23
6,3,,Little_Scottie,,Little_Scottie,Little_Scottie,,Little_T_REX,,Little_Scottie,Little_T_REX,Little_T_REX,Little_T_REX,Little_Penguin,,,Little_T_REX,Little_T_REX purchased GO-KARTS from the Bank. Little_Penguin paid Little_Scottie rent of 4. ,0.0296,8,10,False,False,False,False,0.3948,18,7,19,False,False,False,False,0.0016,8,15,0,False,False,False,False,0.574,29
7,3,,Little_Scottie,,Little_Scottie,Little_Scottie,,Little_T_REX,,Little_Scottie,Little_T_REX,Little_T_REX,Little_T_REX,Little_Penguin,,,Little_T_REX,Little_T_REX paid Little_Scottie rent of 2. Little_Penguin drew a chance card: GET OUT OF JAIL FREE. Little_Scottie drew a chance card: Little Penguin. ,0.028,6,11,False,False,False,False,0.3092,16,7,21,False,True,True,False,0.0052,8,17,3,False,False,False,False,0.6576,31
8,3,Little_Penguin,Little_Scottie,,Little_Scottie,Little_Scottie,,Little_T_REX,,Little_Scottie,Little_T_REX,Little_T_REX,Little_T_REX,Little_Penguin,Little_Scottie,,Little_T_REX,Little_T_REX drew a chance card: GET OUT OF JAIL FREE. Little_Penguin purchased BOARDWALK from the Bank. Little_Scottie purchased BAKERY from the Bank. ,0.0292,6,15,False,True,False,False,0.2416,16,2,23,False,True,False,False,0.0064,8,16,4,False,False,False,False,0.7228,31
9,3,Little_Penguin,Little_Scottie,,Little_Scottie,Little_Scottie,,Little_T_REX,,Little_Scottie,Little_T_REX,Little_T_REX,Little_T_REX,Little_Penguin,Little_Scottie,,Little_T_REX,Little_T_REX went to jail by landing on a GO TO JAIL Space. Little_Scottie paid Little_T_REX rent of 2. ,0.0252,8,6,True,True,False,False,0.2164,18,4,5,False,True,False,False,0.0016,10,14,10,False,False,False,False,0.7568,29
