,players,BOARDWALK_owner,PARK LANE_owner,THE ZOO_owner,AQUARIUM_owner,PET SHOP_owner,TOY SHOP_owner,ROLLER COASTER_owner,FERRIS WHEEL_owner,SWIMMING POOL_owner,GO-KARTS_owner,LIBRARY_owner,MUSEUM_owner,ICE CREAM PARLOUR_owner,BAKERY_owner,PIZZA HOUSE_owner,TACO TRUCK_owner,notes,draw_win%,Little_T_REX_cash,Little_T_REX_pos,Little_T_REX_in_jail,Little_T_REX_get_out_of_jail,Little_T_REX_chance_move,Little_T_REX_bankrupt,Little_T_REX_win%,Little_T_REX_power,Little_Penguin_cash,Little_Penguin_pos,Little_Penguin_in_jail,Little_Penguin_get_out_of_jail,Little_Penguin_chance_move,Little_Penguin_bankrupt,Little_Penguin_win%,Little_Penguin_power,Little_Scottie_cash,Little_Scottie_pos,Little_Scottie_in_jail,Little_Scottie_get_out_of_jail,Little_Scottie_chance_move,Little_Scottie_bankrupt,Little_Scottie_win%,Little_Scottie_power,Little_Ducky_cash,Little_Ducky_pos,Little_Ducky_in_jail,Little_Ducky_get_out_of_jail,Little_Ducky_chance_move,Little_Ducky_bankrupt,Little_Ducky_win%,Little_Ducky_power
0,4,,,,,,,,,,,,,,,,,Game start.,0.086,16,0,False,False,False,False,0.3152,16,16,0,False,False,False,False,0.2484,16,16,0,False,False,False,False,0.1976,16,16,0,False,False,False,False,0.1528,16
1,4,,,,,,,,,,,,,,,Little_Penguin,Little_Ducky,Little_Penguin purchased PIZZA HOUSE from the Bank. Little_Scottie drew a chance card: GET OUT OF JAIL FREE. Little_Ducky purchased TACO TRUCK from the Bank. ,0.0608,16,6,False,False,False,False,0.408,16,15,2,False,False,False,False,0.2284,16,16,3,False,True,False,False,0.1836,16,15,1,False,False,False,False,0.1192,16
2,4,,Little_Penguin,,,,,,,,,,Little_T_REX,,Little_Ducky,Little_Penguin,Little_Ducky,Little_T_REX purchased MUSEUM from the Bank. Little_Penguin drew a chance card: FREE SPACE PINK DARK BLUE. Little_Penguin's destination is PARK LANE. Little_Penguin purchased PARK LANE from the Bank. Little_Scottie paid Little_T_REX rent of 2. Little_Ducky purchased BAKERY from the Bank. ,0.0728,16,7,False,False,False,False,0.3868,18,10,22,False,False,False,False,0.282,16,14,7,False,True,False,False,0.1496,14,14,4,False,False,False,False,0.1088,16
3,4,,Little_Penguin,,,,,,Little_Scottie,,,,Little_T_REX,,Little_Ducky,Little_Penguin,Little_Ducky,Little_T_REX drew a chance card: GET OUT OF JAIL FREE. Little_Penguin paid Little_Ducky rent of 1. Little_Scottie purchased FERRIS WHEEL from the Bank. ,0.0888,16,9,False,True,False,False,0.2836,18,11,1,False,False,False,False,0.2116,17,11,13,False,True,False,False,0.2976,14,15,6,False,False,False,False,0.1184,17
4,4,,Little_Penguin,,,,,Little_T_REX,Little_Scottie,,,,Little_T_REX,Little_Penguin,Little_Ducky,Little_Penguin,Little_Ducky,Little_T_REX purchased ROLLER COASTER from the Bank. Little_Penguin purchased ICE CREAM PARLOUR from the Bank. Little_Scottie paid Little_T_REX rent of 3. ,0.094,16,14,False,True,False,False,0.4684,21,10,5,False,False,False,False,0.2856,17,8,14,False,True,False,False,0.0904,11,15,12,False,False,False,False,0.0616,17
5,4,,Little_Penguin,,,Little_T_REX,,Little_T_REX,Little_Scottie,,,Little_Penguin,Little_T_REX,Little_Penguin,Little_Ducky,Little_Penguin,Little_Ducky,Little_T_REX purchased PET SHOP from the Bank. Little_Penguin purchased LIBRARY from the Bank. Little_Scottie drew a chance card: GET OUT OF JAIL FREE. Little_Ducky paid Little_T_REX rent of 3. ,0.09,16,17,False,True,False,False,0.5676,24,8,8,False,False,False,False,0.2396,17,8,15,False,True,False,False,0.0616,11,12,14,False,False,False,False,0.0412,14
6,4,,Little_Penguin,,Little_Scottie,Little_T_REX,,Little_T_REX,Little_Scottie,Little_Penguin,,Little_Penguin,Little_T_REX,Little_Penguin,Little_Ducky,Little_Penguin,Little_Ducky,Little_T_REX drew a chance card: MOVE FORWARD 1 OR TAKE ANOTHER. Little_T_REX picked a new card instead of moving forward. Little_T_REX drew a chance card: FREE SPACE LIGHT BLUE. Little_T_REX's destination is BAKERY. Little_T_REX paid Little_Ducky rent of 1. Little_Penguin purchased SWIMMING POOL from the Bank. Little_Scottie purchased AQUARIUM from the Bank. Little_Ducky went to jail by landing on a GO TO JAIL Space. ,0.0892,17,4,False,True,False,False,0.366,25,6,11,False,False,False,False,0.4008,17,4,19,False,True,False,False,0.128,11,13,6,True,False,False,False,0.016,15
7,4,,Little_Penguin,,Little_Scottie,Little_T_REX,,Little_T_REX,Little_Scottie,Little_Penguin,Little_Scottie,Little_Penguin,Little_T_REX,Little_Penguin,Little_Ducky,Little_Penguin,Little_Ducky,Little_Penguin drew a chance card: MOVE FORWARD UP TO 5 SPACES. Little_Penguin paid Little_T_REX rent of 3. Little_Scottie drew a chance card: FREE SPACE ORANGE. Little_Scottie's destination is GO-KARTS. Little_Scottie purchased GO-KARTS from the Bank. ,0.0736,20,7,False,True,False,False,0.3092,28,3,17,False,False,False,False,0.3732,14,4,10,False,True,False,False,0.2284,13,12,12,False,False,False,False,0.0156,14
8,4,,Little_Penguin,,Little_Scottie,Little_T_REX,,Little_T_REX,Little_Scottie,Little_Penguin,Little_Scottie,Little_Penguin,Little_T_REX,Little_Penguin,Little_Ducky,Little_Penguin,Little_Ducky,Little_T_REX drew a chance card: PAY 2 TO BANK. Little_Penguin drew a chance card: GET OUT OF JAIL FREE. Little_Scottie paid Little_T_REX rent of 3. Little_Ducky paid Little_Scottie rent of 3. ,0.0776,21,9,False,True,False,False,0.3444,29,3,21,False,True,False,False,0.2892,14,4,14,False,True,False,False,0.2808,13,9,13,False,False,False,False,0.008,11
9,4,,Little_Penguin,,Little_Scottie,Little_T_REX,,Little_T_REX,Little_Scottie,Little_Penguin,Little_Scottie,Little_Penguin,Little_T_REX,Little_Penguin,Little_Ducky,Little_Penguin,Little_Ducky,Little_T_REX paid Little_Penguin rent of 2. Little_Penguin drew a chance card: FREE SPACE LIGHT BLUE RED. Little_Penguin's destination is FERRIS WHEEL. Little_Penguin paid Little_Scottie rent of 3. Little_Scottie went to jail by landing on a GO TO JAIL Space. Little_Ducky drew a chance card: GET 1 FROM EVERYONE. ,0.0872,19,11,False,True,False,False,0.4336,27,4,13,False,True,False,False,0.2544,15,7,6,True,True,False,False,0.2024,16,9,15,False,False,False,False,0.0224,11
